v1_freq,pin_sum,pout_sum,phase_avg
1000000000.0,5.114014330856653e-22,2.1164226639604428e-22,-3.1495089363064714
1100000000.0,5.077923682318159e-22,2.1015172862019622e-22,-3.149512514862842
1200000000.0,5.039007912855093e-22,2.085420253144333e-22,-3.1495152812033527
1300000000.0,4.997401485190355e-22,2.0681928671561233e-22,-3.1495173872823288
1400000000.0,4.953246174649388e-22,2.04989757233584e-22,-3.1495191349867127
1500000000.0,4.906692053524997e-22,2.0305991472177172e-22,-3.1495204940698804
1600000000.0,4.857892533575284e-22,2.0103630079752203e-22,-3.1495216414266354
1700000000.0,4.807005258113416e-22,1.9892558305109496e-22,-3.149522579527309
1800000000.0,4.754189493005219e-22,1.9673446526356444e-22,-3.1495233494747876
1900000000.0,4.699605107534553e-22,1.9446965272099993e-22,-3.1495240039739403
2000000000.0,4.643411678758907e-22,1.921378210284177e-22,-3.1495245817787354
2100000000.0,4.585767565247807e-22,1.897455851192256e-22,-3.149525091726565
2200000000.0,4.526829987400691e-22,1.872994986834816e-22,-3.149525325131405
2300000000.0,4.4667488236605765e-22,1.8480581953452538e-22,-3.149525879407514
2400000000.0,4.40567646676268e-22,1.8227088243041486e-22,-3.1495261518707327
2500000000.0,4.343756554720243e-22,1.7970067028645947e-22,-3.1495263663345954
2600000000.0,4.281128287478055e-22,1.771009779608595e-22,-3.1495266638979245
2700000000.0,4.217927171946387e-22,1.7447743722774903e-22,-3.1495268284607296
2800000000.0,4.154280591872064e-22,1.718353507420149e-22,-3.149527153385505
2900000000.0,4.0903128021125736e-22,1.6917987801559934e-22,-3.1495272865379795
3000000000.0,4.026139254830721e-22,1.6651582233891337e-22,-3.1495274421650827
3100000000.0,3.96187031320056e-22,1.638477687505064e-22,-3.1495275399960456
3200000000.0,3.897609199201777e-22,1.611800087074694e-22,-3.149527655344628
3300000000.0,3.8334529096628195e-22,1.5851657307035033e-22,-3.1495277979749465
3400000000.0,3.7694923562687646e-22,1.5586123748934227e-22,-3.1495278699740936
3500000000.0,3.70581137736974e-22,1.532174867609638e-22,-3.149527952429659
3600000000.0,3.642487810485494e-22,1.505885549220377e-22,-3.1495280443915648
3700000000.0,3.5795932251146617e-22,1.4797741595042943e-22,-3.149528183223567
3800000000.0,3.517193745916051e-22,1.4538681461151623e-22,-3.1495282414395818
3900000000.0,3.455348780128748e-22,1.4281922173903064e-22,-3.1495283794235336
4000000000.0,3.394113422130262e-22,1.4027692186585881e-22,-3.1495283515725463
4100000000.0,3.3335359991454196e-22,1.3776192646702765e-22,-3.149528387940772
4200000000.0,3.273660639531715e-22,1.35276067527792e-22,-3.149528422015556
4300000000.0,3.2145263173761697e-22,1.328209648721477e-22,-3.149528501781692
4400000000.0,3.15616779958004e-22,1.3039806108276626e-22,-3.1495285236513135
4500000000.0,3.0986150259916e-22,1.2800860150888302e-22,-3.1495285841144205
4600000000.0,3.0418941538794377e-22,1.2565367235709987e-22,-3.1495286647461525
4700000000.0,2.986027932275301e-22,1.233342156260834e-22,-3.14952856317697
4800000000.0,2.931034048836531e-22,1.2105097316091077e-22,-3.1495287383432724
4900000000.0,2.8769287949527447e-22,1.1880461589267846e-22,-3.1495287936013785
5000000000.0,2.823724265681647e-22,1.1659564759433643e-22,-3.1495288201964478
5100000000.0,2.7714298485025034e-22,1.1442445909898335e-22,-3.1495288499433682
5200000000.0,2.720052500686169e-22,1.122913382794816e-22,-3.1495288066977967
5300000000.0,2.6695963903260315e-22,1.1019646031781712e-22,-3.149528804372863
5400000000.0,2.6200637883316236e-22,1.0813991876788062e-22,-3.1495287831093273
5500000000.0,2.571454727158031e-22,1.0612171611643626e-22,-3.149528797000474
5600000000.0,2.52376759413275e-22,1.0414178453227133e-22,-3.149528774537856
5700000000.0,2.476998748698276e-22,1.0219997507660653e-22,-3.149528860915447
5800000000.0,2.4311434153605027e-22,1.0029608829938438e-22,-3.1495289588841886
5900000000.0,2.386195562229803e-22,9.842987149615535e-23,-3.1495288693190253
